,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
6299,3.0,1,4,2,3,1,“집에는 갈 수 있는 회사”,현직원 · K********* · 연구개발(R&D) - 2020.08.09,"일을 깔끔하게 하면 집에 일찍갈 수 있다
남들이 대기업이라고 생각해준다","연봉이 전혀 안 오른다
교통이 매우 안 좋다
답답한 경영 방식"
6300,3.0,2,3,4,3,3,“인지도 높은 회사”,현직원 · z***** · 마케팅·홍보 전문가 - 2020.08.09,복지좋은편 워라밸 서울근무 네임밸류 출퇴근 명확히 지켜지는점,부바부지만 조직문화 미래전망성 업무분담 등등 여러가지
6301,3.0,3,4,4,4,3,“현장노답”,현직원 · M***** · 생산엔지니어·생산관리 - 2020.08.09,"튼튼한 메이저회사
차를 좋아하는 사람이라면 이만한 회사없음
돈으로 마음먹고 밀어부치면 어지간한건 다 따라잡을수 있는 리소스 보유회사","현장꼬라지보면 욕나옴
알려진 언론 내용보다 더 심함 관리자들 돈 더줘야함
근데 아이러니한건 회사도 가끔 븅신짓해서 덜미잡히는 일 많이 함"
6302,3.0,3,3,3,3,3,“워라밸 보장 되는 회사”,현직원 · i******** · 연구개발(R&D) - 2020.08.09,워라밸이 보장됨 눈치보지않고 연차사용 자동차할인 최대 30,자기계발은 스스로 겉은 대기업이나 속은 주먹구구식 성장기회가 적음
6303,2.0,1,4,3,1,1,“추천하고 싶지 않은 회사”,현직원 · f***** · 연구개발(R&D) - 2024.04.25,"1 회사 네임밸류
2 워라밸은 좋은 편
3 그외 없음","1 커리어 개발 없음
2 주먹구구식 업무처리
3 광팔이 문화"
6304,2.0,1,4,2,1,1,“개인이 멍게가 되는 개인의 커리어 무덤”,현직원 · l********* · 경영지원·관리 전문가 - 2024.04.19,경쟁이 덜하고 조금만 해도 남들보다 튀어보일 수 있음 붙임성과 넉살 좋은 성격이라면 골프 술자리 및 잡기에 능하다면 추천하는 회사,자기개발의 기회가 없고 업무 외적인 평가가 많음장점일수도
6305,2.0,1,4,2,2,1,“직원들을 개차반으로 대하는 회사”,현직원 · 1****** · 품질관리·보증 전문가 - 2024.04.10,"사내문화가 좋아지고 있다
대체적으로 워라벨이 지켜지는편","직원들을 노예로 아는 경영진
성과금 후려치기
광팔이들 때문에 특정 부서만 갈려나감"
6306,2.0,2,1,2,2,2,“그냥 현대차”,현직원 · c***** · 연구개발(R&D) - 2024.04.09,"정년까지 있을 수 있음
자동차 할인됨
성과급 요즘 전보다 나아짐","보수적
성장하기 어려움
조직문화가 옛날 문화
재능발휘어랴움"
6307,2.0,3,2,3,1,1,“아직 보수적인 회사”,현직원 · w********* · 생산엔지니어·생산관리 - 2024.04.07,조금씩 변화하고 있는 회사 워라밸도 좋아지고 있음 성장하기 좋음,보수적 많은 회식 회식 좋아함 실제 높지 않은 급여소문만 높음
6308,2.0,2,2,2,1,1,“사바사가 무척 심함”,현직원 · W***** · 구매·물류·SCM 전문가 - 2024.04.02,"대부분 워라밸이 많이 좋아졌다고 함
하지만 팀바팀이 심하고 극과극","복잡한 급여체계와 심한 사일로로 인해 일부팀에 로드가 많이 걸림

광팔기 좋아하는 임원들로 인해 기존 벌여놓은 업무들은 나몰라라"
6309,2.0,2,2,2,2,2,“단점과 장점이 극명한 회사”,현직원 · l******** · 경영지원·관리 전문가 - 2024.04.02,기본적인 대기업으로써의 위상 워라밸이 어느정도 보장되는 곳,급여관련 이슈가 끊이지 않는곳 평가와 성과척도 보상체계가 대기업 같지 않은 곳
6310,2.0,2,2,1,3,1,“국민정서”,현직원 · 타*** · 연구개발(R&D) - 2024.03.31,"국민정서를 고려해주는 매우 바람직한 회사
노조비를 매달 기부하며 어용노조 관람","임원들은 성과급 다 해먹고 국민정서 운운하며 돈 안주는
회사"
6311,2.0,1,4,1,1,1,“워라밸 빼면 시체”,현직원 · x***** · 연구개발(R&D) - 2024.03.17,"워라밸은 보장 되는 편임
정년은 무조건 보장되는 편임",그 외의 모든것들이 단점이라고 할 정도로 대기업인가 싶음
6312,2.0,2,3,4,2,1,“그냥저냥 다닐만한 회사”,현직원 · l********* · 생산엔지니어·생산관리 - 2024.03.15,"사고 안치먼 잘 안짤림
워라밸 좋음
스트레스 안받고 주식 코인 제태크 하면서 다니기 좋음","밥 맛없음
타 대기업 대비 급여 적음
노사 관계 시끄럽고 짜증남"
6313,2.0,2,4,4,3,1,“워라밸”,현직원 · i********* · 연구개발(R&D) - 2024.03.08,"워라밸과 돈 측면에서
어느정도 준수한 수준으로 만족하고 있음","사일로
자기계발 어려움
오래 다니면 다닝수록 개인적인 경쟁력 없어짐"
6314,2.0,2,5,4,3,1,“대기업중 워라벨은 상타치지만 낙하산 인사가 많아 알앤디 방향성이 자주 바뀜 ”,현직원 · I******** · 연구개발(R&D) - 2024.02.13,워라밸 굿 다른 대기업 대비해서 자동차는 사이클이 보통 5년이다,낙하산 인사가 많아서 알앤디 방향성이 자주 변경됨 본인만의 강점을 꾸준히 개발시킬 필요가 있음
6315,2.0,2,1,2,2,2,“왜 군대다음 현대인지 바로 알게됨”,현직원 · 1******** · 생산엔지니어·생산관리 - 2024.02.11,유연근무제 사용할 수 있는점빼곤 없다아무리 찾아도 잘 없다 부서사람들이 착한거빼곤,울산이라는 위치와 회사가 잘 나가는데에 비해 성과급은 짜고 나이든 사람들은 일도 안하고직원들은 불만밖에없는듯 기숙사는 80년대에 지어진거라 사람이 살 수 없는곳
6316,2.0,1,3,4,1,4,“팀바이팀이 큰 회사”,현직원 · T***** · 연구개발(R&D) - 2024.02.06,"연봉 복지 좋음 워라밸이 대체로 좋은편
쉬는날 휴가 많음",팀바이팀과 사라에 따라서 업무 강도가 비교되게 많이 달라짐 군대문화있음
6317,2.0,2,2,1,2,1,“기존 사업 직원들 사기를 꺾는 회사”,현직원 · T***** · 경영전략·사업기획·분석전문가 - 2024.02.04,"최근 실적이 좋음이것도 길게 갈지는 미지수
인지도가 높음","돈도 못벌어오고 회사만 혼란스럽게하는 ICT GSO AAM 등 꿀 광팔이들이 득세하는 곳
생산직 중심의 회사"
6318,2.0,2,2,2,2,2,“프로젝트가 많을땐 많은 야근 그 외는 적당함”,현직원 · j****** · 경영지원·관리 전문가 - 2024.01.29,"회사에 따로 설명을 하지 않아도 된다
자동차 할인이 들어간다",사원대리 호봉제 최악 연 상승률 100만원 기본급여 상당히 닞음
6319,2.0,1,4,5,1,4,“시대에 뒤떨어지는 실무가 너무많음”,현직원 · j***** · IT 기획·매니지먼트 전문가 - 2024.01.26,최고경영층은 오히려 회사를 바꿔나가고자하는 의지가 많다고 느껴짐 조직문화가 잘못되어있다는 인식도 강하고 해당 문화를 바꾸려고 여러 시도를 함,"하지만 이를 쫓아오려는 실무의 능력이 부족함 최고경영층이 어떤 혁신을 시도하려고 해도 실무에서 혁신에 대한 이유나 목적성에 대한 이해도가 떨어짐
사장급이 A를 지시하면 실무가 A를 B로 이해하는 경우가 많음 또는 A를 실행하는데에 있어서 실행방식이 구식임

너무 오랜 외주 체제가 내부 임직원의 경쟁력 저하를 야기시켰음 문제는 경쟁력이 저하된 고인물들이 대부분 G4G3에 포진 해 있어서 실장 팀장 부장 차장을 하고 있다는거임 보통 그 레벨에서 모든 변혁이 막힘"
6320,2.0,2,2,1,1,1,“사원 대리급은 휴가가 많은 곳”,현직원 · y***** · 경영전략·사업기획·분석전문가 - 2024.01.25,사원 대리급은 휴가가 많다그러나 다 쓰는 건 일부 ict gso 등 꿀부서만 해당,사원 대리 호봉제라서 8년동안 고정 급여에 차이가 없다생산직 중심이라서 대졸들이 손해보고 있음
6321,2.0,2,2,1,2,1,“그저 그런 적당한 회사인듯”,현직원 · u***** · 경영전략·사업기획·분석전문가 - 2024.01.22,"매니저사원 대리는 휴가가 많다
자동차 살 때 할인이 된다","매니저는 호봉제라서 8년 9년동안 연봉싱승률 1년에 100만원 정도임
자동차는 사야만 할인 혜택을 본다"
6322,2.0,2,2,1,2,1,“사원 대리 월급이 정말 낮은 곳”,현직원 · b***** · 경영전략·사업기획·분석전문가 - 2024.01.17,실적 좋아 성과금 많이 받을때라 높아보이지 실제 8년동안의 연봉은 정말 처참하다,기술직 증심의 연봉체계라서 사원 대리 월급이 너무 낮다 타사대비 경쟁력이 1도 없음 물가상승률 반영도 안됨
6323,2.0,2,5,4,5,1,“워라밸은 좋은회사”,현직원 · I***** · 생산엔지니어·생산관리 - 2024.01.14,"연봉대비 워라밸 최상
회사 네임밸류도 엄청 좋은편
욕심없이 다니기 좋음","급여 체계가 이상함
실적대비 성과급이 많은것 같지는 않다"
6324,2.0,1,3,2,2,1,“승계에 미친 회사”,현직원 · l********* · 연구개발(R&D) - 2024.01.13,자신의 분야에서 뛰어난 역량을 갖고 프로젝트를 좋은 방향으로 이끌어가려 하는 여러 부서의 몇몇 동료들,불합리한 의사결정 어려운 커리어 개발 비전없이 승계에 미친 경영진
6325,2.0,3,2,5,2,1,“복지좋음 팀바팀이 심함 남양최악”,현직원 · k******** · 건설 엔지니어 - 2024.01.09,"복지좋고 노조가 정한 휴가가 많음
식당개선해서 맛있어짐","위치가 남양인게 제일 에바
팀바팀으로 워라벨이 갈림"
6326,2.0,1,1,1,1,1,“그냥저냥 적당한 회사라고 하기엔 생산직 위주 회사임”,현직원 · y***** · 경영지원·관리 전문가 - 2024.01.04,사원대리때 휴가가 많은 것 자동차 할인이 된다는 것,타사 대비 개인연금 제도 한없이 열학대기업중 최악일듯 현대차는 2만원 sk는 10만원 타사는 기본급의 5 10
6327,2.0,1,5,2,1,1,“시급 올리기에 좋은 회사”,현직원 · x***** · 연구개발(R&D) - 2024.01.01,일이 없는데 돈은 안밀리고 잘 준다 그래서 투자전문가 분들이 많다,아무것도 안한다 진짜 커리어 무덤 여길 발판삼아 실력 쌓고 어딜 가겠다는 생각을 하는 사람이라면 비추천
6328,2.0,2,2,1,2,1,“성과급 지급 시점이 모호한 회사”,현직원 · i******** · 회계·세무·재무 전문가 - 2023.12.26,매니저급은 휴가가 많아서 요긴하게 휴가 사용이 기능하다,성과급 지급 시점이 너무 느리고 노조 협상에 따라 정확한 지급 시점을 찾기가 어렵다
6329,2.0,2,2,1,1,1,“그냥 그럭저럭인데 매니저급 급여 낮음”,현직원 · 좋**** · 경영지원·관리 전문가 - 2023.12.20,"인지도가 높아서 설명이 필요 없다
매니저급에 한해서 휴가가 많다","복지 월급 모두 생산직 50대에게 집중
상대적으로 대졸 처우가 약하다"
6330,2.0,1,4,3,3,2,“망하는줄 모르고 신난 회사”,현직원 · p******** · 연구개발(R&D) - 2023.12.17,"적당한 돈
차량 할인
이름 값
그래도 경기도
노조
연차","여자 우대에 온 힘을 쏟는 회사
실력 보단 자기 맘에 드는 인원 우대
망해가지만 누구 하나 손 들고 제지 하지 않는 회사"
6331,2.0,2,2,2,2,2,"“일부 꿀 부서(ict, gso, 상품)는 좋은 곳”",현직원 · 조**** · 경영지원·관리 전문가 - 2023.12.16,"일부 꿀부서는 진짜 신의 직장이다
해와출장 놀러감 주 40못채움 등등","생산직 중심의 급여 복지 체계
일부 꿀부서는 계속 꿀을 빤다"
6332,2.0,2,4,3,2,1,“전체적으로 봤을때 평균이상정도”,현직원 · P***** · 하드웨어 엔지니어 - 2023.12.13,"그냥 대기업 다니고 싶으면 오면 됨
1 갑의위치
2 회사 인지도
3 먹고살만큼은 줌","1 사내정치 및 찌질한 구성원들
2 복지 떨어짐
3 틀딱회사"
6333,2.0,2,2,2,2,2,“일부 부서만 워라밸이 보장됨”,현직원 · i****** · 경영지원·관리 전문가 - 2023.12.05,"자동차 할인이 되서 다양한 차량 경험이 가능하다
인지도가 높음",일부부서 광팔이 조직 GSO SDV Ict는 뭐 하는지 모름 돈만 씀 해외출장 많음
6334,2.0,1,2,2,1,1,“불투명”,현직원 · 꿈******* · IT 엔지니어 - 2023.12.04,"부바부 이지만 존중과 협업
손들고 일 맡으면 대체할 수 있는 사람을 찾기 힘듬","모든게 뒤에서 이루어짐
회사 공지보다 신문기사가 빠름
신문기사로 직원들 간봄"
6335,2.0,2,2,2,2,2,“매니저급 휴가가 많은 곳”,현직원 · i******** · 경영전략·사업기획·분석전문가 - 2023.12.04,"자동차 할인이 되서 실구매시 도움이 된다
글로불 회사",근무강도 낮은 특정 본부 hmg경영연구원 oct gso 등등 업무가 너무 낮아서 주 40시간 채우기 어려움
6336,2.0,1,5,2,1,1,“워라벨은 좋은 나머지는 다른기업과 비교됨”,현직원 · 갑****** · 생산엔지니어·생산관리 - 2023.12.01,"다른 기업에 비해 월차나 회사 휴일이 엄청나게 많음
업무도 일이 엄청나게 많다고는 안느낌","1 자율출퇴근으로 회사 행사에 근태 빼먹기체육대회 야유회등
2 회식은 n 빵 이럴거면 왜 하고 싶어하는지 모르겠음
3 업무량이 들쭉 날쭉에 해당업무를 해본 사수나 선배가 없음혼자서 모든걸 짊어 져야함
4 기숙사는 솔직히 너무 오래되었는데 이정도면 바꿔줘라 85년도 건물은 너무해"
6337,2.0,2,2,2,2,2,“꿀 부서만 계속 꿀인곳”,현직원 · i********* · 경영지원·관리 전문가 - 2023.11.30,"Ict gso 등 꿀부서는 만족도 최고임
단 나머지 조직은 그만큼 더 업무강도가 높단뜻","성과급이 4분기 다 되어서 나옴
기술직 중심의 복지제도"
6338,2.0,2,2,1,1,1,“꿀 부서만 계속 꿀인 곳”,현직원 · 열*** · 경영전략·사업기획·분석전문가 - 2023.11.28,"글로벌 기업이다보니 인지도가 높은 점
자동차 구매시 할인혜택","광팔이 조직들은 일은 안하고 광만 판다
특히 GSO SDV"
6339,2.0,2,2,1,1,1,“Ict 등 일부 부서는 꿀단지”,현직원 · l******** · 경영전략·사업기획·분석전문가 - 2023.11.26,인지도가 높아 설명이 딱히 필요없고 자동차 할인이 되는 정도,"일부 부서는 진짜 난이도가 헬임
성과급 지기 시기가 너무 늦음
생산직 중심"
6340,2.0,1,1,1,2,1,“Ict 등 일부 부서만 꿀단지”,현직원 · 쮸* · 경영지원·관리 전문가 - 2023.11.21,"인지도가 높고 글로벌 회사라 어른들이 좋아함
자동차 할인","Ict등 워라밸 좋은 부서들은 채용도 많고 재택근무도 여타 혜택이 많은데
정작 돈 벌어오는 부서는 쌩판 모른척함"
6341,2.0,2,4,4,3,2,“국내 자동차 1등 기업 거기가 끝이다”,현직원 · Y***** · 연구개발(R&D) - 2023.11.15,"국내 탑티어 자동치 회사주변 경쟁자기 없다
괜찮은 급여 수준","유연란 듯 보이나 그렇지 않은 조직 문화
몇몇 광팔이로 인한 업무 프로세스의 붕괴"
6342,2.0,2,2,1,1,1,“보고서에 ‘불가’라는 표현 불가한 회사”,현직원 · B***** · 하드웨어 엔지니어 - 2023.11.13,"대충 일하고 버티자라는 마인드면 다니기 편한회사
태업을 방관함","노사간 불신을 바탕으로 불합리로 꼬일대로 꼬인회사
직원알기를 호구로 보는 회사"
6343,2.0,1,2,3,2,1,“훌륭한 워라밸”,현직원 · !******** · 연구개발(R&D) - 2023.11.12,조합원기준 휴가가 많음 연월차  하계휴가  투표 등등,차량 양산과 무관한 이벤트들이 매우 많음 선행 조직이 차에 대한 이해도가 낮음
6344,2.0,2,2,1,1,1,“그냥저냥 적당히 다닐만한 회사 정도..”,현직원 · i******* · 회계·세무·재무 전문가 - 2023.11.10,"자동차 할인이 필요할때마다 가능
인지도가 높아 굳이 설명이 팔요 없음","생산직 임원들만 챙겨주는 회사
직원들과 이익 공유를 하지 않음"
6345,2.0,2,1,3,1,1,“정치개쩌는회사”,현직원 · 1******** · IT 엔지니어 - 2023.11.08,워라벨 나쁘네 해도 7시면 삼실 텅텅빔 하지만 팀잘못만나면 너네팀만 야근,모든게 정치로 진행됨 합리적인척하면서 결국 말단부터 꼭대기까지책임안지는 문화가 만연해있음 이또한 지니가리라 미루고 다른팀한테 넘기고 팀둘끼리 서로 지시만 하면서 해줘로 핑퐁치는기 일상임 힘없는팀이 모든 일을 처리할수밖에 없음
6346,2.0,3,4,4,4,2,“워라벨 보장”,현직원 · T***** · IT 엔지니어 - 2023.11.07,"업계 호황이라 돈 괜찮음
복지 적당한 수준
식당있어서 좋음","의욕넘치는 사람이 많진 않은 듯
회사의 복지와 임금이 전사적으로 통일시키려고함
과장급까지의 연봉동결 수준"
6347,2.0,1,2,1,1,1,“일부 부서로 워라밸이 보장되는곳”,현직원 · x****** · 경영전략·사업기획·분석전문가 - 2023.11.03,자동차 할인이 있고 차를 경험해볼 수 있는 기회가 많음 인지도가 높음,"성과급을 매년 4분기에 줘서 힘들다
생산직 중심의 복지급여 체계"
6348,2.0,1,3,3,2,1,“워라벨 일부가능”,현직원 · 現**** · 연구개발(R&D) - 2023.10.28,"사람많음
밥줌
기본급높은편
사무실있음
외부시선은 좋은편","능력자 탈주현상 발생
고인물끼리끼리
평균연령 높음
성과금 개념 정상아님"
6349,2.0,1,2,1,1,2,“신기하게 잘 굴러가는 회사”,현직원 · i***** · 생산엔지니어·생산관리 - 2023.10.23,국내 최고 자동차 회사이다보니 차 만들어지는 흐름을 대강 파악 가능,공장 생산부서는 조직문화 워라밸 커리어향상 등 최악임
6350,2.0,2,1,3,1,3,“꼰대들은 본인들이 꼰대인줄 모른다”,현직원 · 뿌** · 연구개발(R&D) - 2023.10.22,"복지나 급여는 만족스럽다
자동차에 관심이 많다면 일도 즐거운 편이다","사내문화는 최악
지역별 부서별 차이는 있겠지만 군대식 문화가 심하다
출근보다 퇴근이 더 괴롭다"
6351,2.0,2,1,1,1,1,“생산직만을 위한 회사”,현직원 · ㅣ***** · 경영전략·사업기획·분석전문가 - 2023.10.20,"생산직에게는 천국의 회사
사무직 연구직에게는 혜택이 돌아오지 않는다",사무직 연구직 개차반 성과급 논의시점규모복지성 혜택은 모두 생산직 중심
6352,2.0,3,3,1,1,1,“나는 워라밸도 모르겠다”,현직원 · 헐** · 연구개발(R&D) - 2023.10.11,자동차 할인말고 잘모르겠음 다른 사람들은 워라밸 있다지만 본인은 SW개발인데 워라밸 없음,복지 부족함 실적에 비례하지 않는 성과급 책임 가두리 연봉
6353,2.0,1,2,2,2,1,“차판 돈으로 딴짓하는 회사”,현직원 · 니* · 연구개발(R&D) - 2023.10.10,인사제도 개편 이후 직원들 의욕이 떨어져 전반적으로 워라벨이 상향 평준화 됨,"노동조합 위주의 업무 운영 및 진행
현장아저씨들 눈치보느라 제대로된 개발이나 원가절감 안됨"
6354,2.0,1,1,1,1,1,“매니저급 연봉이 형편없음”,현직원 · G********* · 회계·세무·재무 전문가 - 2023.10.09,"자동차 할인비싸서 잘 사지는 않음
인지도가 높아 설명 필요없음","사원 대리급인 매니저들의 연봉이 형편없이 낮음
성과급또한 생산직과 회사가 협상해서 나오는 구조로 매년 말에 전년도 성괴급을 받는 기형적인 구조"
6355,2.0,2,5,4,2,1,“워라밸 굿 커리어는 글쎄..”,현직원 · 하***** · 경영전략·사업기획·분석전문가 - 2023.10.07,"전반적으로 좋은 워라벨
낮은 성과 압박 상대적
최근 실적 우수","아직 옛날 문화가 남아있는 곳
최근 실적은 대부분 환율 효과이며 이제 다운턴일 확률 높음
역대급 실적에 맞지않는 경영진의 임직원
보상 마인드"
6356,2.0,3,2,1,4,1,“대기업 흉내내는 중견”,현직원 · i********* · 하드웨어 엔지니어 - 2023.09.14,"사내 문화 좋음공장 제외
차 할인해줌5부터 시작이지만
유연근무제","외의 복지 전무하다고 봐도 됨하계 아이스크림 제공 정도 수준의 복지
특히 임금성 부분에선 대기업 기대에 전혀 못 미침
적은 임금은 성과급으로 메꾼다면서 노조도 회사도 성과급 많이 줄 생각 없음"
6357,2.0,3,4,2,4,1,“생산직을 위한 회사”,현직원 · q******** · 연구개발(R&D) - 2023.09.14,차량할인이 되는 정도 부바부지만 워라밸외에는 없는 회사,무체계 최악의 통근조건 생산직 중심 경영진의 무분별한 투자
6358,2.0,2,2,2,2,1,“경영진과 구성원의 동상이몽”,현직원 · 박*** · 연구개발(R&D) - 2023.09.13,차량구입 할인 자연친화적 연구소 이렇다 저렇다 논란이 있어도 꾸준히 성장하는 회사,경영진과 생산직이 주요결정의 주도권을 쥐고있고 사이에 낀 연구소
6359,2.0,3,4,2,3,1,“애매한 회사”,현직원 · i***** · 연구개발(R&D) - 2023.09.12,자동차를 대상으로 연구개발 할 수 있는 국내 유일한 완성차업체,구시대적 문화가 여전히 주류를 이루고 있기 때문에 성과에 대한 합리적 기준 없으며 사측과 노조의 내부 결탁에 좌지우지 되는 회사
6360,2.0,2,3,3,2,2,“생각없이 다녀야 하는 회사”,현직원 · i********* · IT 엔지니어 - 2023.09.12,국내 제조업 회사 중에는 나쁘지 않은 수준의 연봉 및 복지,"점점 연봉 및 복지 수준이 타 기업들에 비해 뒤처짐
많은 수의 정년보장만 바라보는 기술직들이 원인중 하나
회사도 직원을 알아서 챙겨주지는 않음"
6361,2.0,1,3,1,1,1,“워라밸만보장됨”,현직원 · l********* · 연구개발(R&D) - 2023.09.09,"주변에서 킹차 갓무직이라고 함
워라밸 보장이 거의 유일한 장점","박사 후 연구직으로 입사했는데 연구하기 힘든 환경
상부의 비위를 맞추기 위한 자료 작성에 많은 시간
역대 최대성과에도 직원들 사기가 박살
현대맛보고 이직을 고려중인 입사 3년차 이내 책임연구원 심심치 않게 볼 수 있음"
6362,2.0,2,5,3,4,3,“워라벨 우수 시급으로 따지면 최상”,현직원 · x***** · 경영전략·사업기획·분석전문가 - 2023.09.09,시급으로 따지면 가장 좋다고 봐도 무방합니다 오후6시에 바글바글하고 오후5시만 되어도 나가려고 하는사람들이 많습니다,커리어 발전을 고민하고 있다면 다시 한번 입사를 고민하시길 바랍니다
6363,2.0,2,5,2,2,1,"“극강의 워라밸 but, 극강의 원가절감”",현직원 · b***** · 환경·안전·보건 전문가 - 2023.09.07,"1 워라밸 좋음817
2 연월차 사용 눈치 안봄 이게 끝","1 낮은 기본급 이것도 원가절감
2 복지 구림항목은 많은나 해당사항 없음 등으로 못누리는게 태반
3 대외적으론 좋은데 다니네 소리 듣는데 내실은 쓰레기임
4 항상 가득한 노무
5 유연하지 못한 조직 문화
6 현실은 그렇지 못하지만 위에 보고할땐 자화자찬
7 능력없이 잉여로 버티는 인간들 많음 사대리급에게 모든 업무가 몰리고 특정 보직과장들에게만 책임을 전가하는 모습이 많음"
6364,2.0,1,4,2,2,1,“대외적으로 보이는거 대비 글쎄?”,현직원 · j********* · 연구개발(R&D) - 2023.08.19,남들 다 아는 기업에 다닌다는 장점 어른들이 좋아하십니다,사측 노조측 모두 임직원들 생각한다기보다 본인 밥그릇 챙기기 급급합니다
6365,2.0,1,5,4,3,1,“워라밸이 보장되는 회사”,현직원 · w***** · 연구개발(R&D) - 2023.07.25,급여와 워라밸은 충분히 만족할만함 사람들이 대부분 젠틀하여 문화가 나쁘지 않음,연구원 직무로서의 경력을 가지고 타회사로 이직하기 쉽지 않음 선행 업무 부서가 아닌 이상에야 새로운 업무를 배우기 어려움
6366,2.0,2,2,2,2,2,“팀바팀 부바부”,현직원 · 말**** · 생산엔지니어·생산관리 - 2023.07.11,대한민국 자동차 기업1위라 갑의 위치임 워라밸 괜찮은듯,결국 제조업의 딱딱함은 어쩔수 없는것 같다 바뀌곤있지만 글쎄
6367,2.0,2,2,2,2,2,“좀 더 다녀봐야 알것 같음”,현직원 · P***** · 경영전략·사업기획·분석전문가 - 2023.07.05,큰 조직체계와 빠른 변화 그 속에서 중심잡기를 배울 수 있음,기업문화를 바꾼다고 하지만 실체는 그대로 활기가 필요해보임
6368,2.0,2,4,2,3,1,“생각하기나름”,현직원 · j********* · 생산엔지니어·생산관리 - 2023.06.29,점점나아지는 근무환경 워라밸도 초기에비해 많이 나아진편임,그냥저냥 애매함 주변 메이저 대기업대비 급여메리트가 별로없음
6369,2.0,2,4,3,3,2,“워라벨이 보장되는회사”,현직원 · j***** · 생산엔지니어·생산관리 - 2023.06.27,"쉬는날이 많다
업무가 쉽다
부서 내 분위기가 나쁘지 않다","급여가 생각보다 짜다
업무 시스템이 올드하다
꼰대가
있다"
6370,2.0,2,3,1,2,1,“워라밸만 좋음”,현직원 · l********* · 연구개발(R&D) - 2023.06.17,"출퇴근 눈치안봄
개발일정이 안급하면 칼퇴하는 분위기
차량할인","성과대비 낮은 급여기준이없음
서울과 상대적으로 먼 연구소"
6371,2.0,2,3,2,4,2,“다니다보면 한숨나오는 회사”,현직원 · c***** · 연구개발(R&D) - 2023.06.10,"워라밸은 어느 정도 유지 된다고 볼 수 있음
조직 사람들이 젊어서 꼰대가 적음",영업이익 등이 좋으면 성과급을 잘 줘야하는데 성과급 기준 체계가 없음
6372,2.0,1,2,4,2,3,“회사의 미래는 보이는데 내 미래가 안 보인다”,현직원 · O***** · 경영지원·관리 전문가 - 2023.06.07,"성장하는 모빌리티 업계에서 일한다는 점
타사 대비 연차 많은 편
자동차 직원 할인
장기근속","직원과 조직이 장기말처럼 쓰임
나는 하나의 부품만도 못한 존재
갈수록 사내경쟁 너무 심해져서 팀 안에서도 경쟁 붙임
실무 모르는 리더가 자꾸 생겨서 현업이 안 돌아감무시당함
허울 좋은 기획 보고만 관심있고 진짜 일에는 관심이 없음
나 하나 갈아가면서 일해야 겨우 돌아가는데 알아주는 사람도 없음
여전히 현대차가 최고인줄 알고 이직하는 사람 이해 못하는 시대 착오적인 마인드"
6373,2.0,2,2,2,2,2,“워라밸 낫배드”,현직원 · m****** · 경영전략·사업기획·분석전문가 - 2023.05.30,"자동차 할인 가끔 회사 차 탈 수 있음
성장하는 회사","어디든 부바부 사바사 잘 만나야함
대졸 사원대리급 연봉이 너무 낮음"
6374,2.0,2,4,3,2,2,“경영자의 지시를 깔삼하게 무시하는 실무진들”,현직원 · l******** · 생산엔지니어·생산관리 - 2023.05.01,워라벨은 좋음 일없다면 5시에 칼퇴해도 눈치는 안봄,일부 책임들의 가스라이팅 옷차림 머리스타일 실무와 상관없이 트집잡으려고만 하는 조언들이 많음
6375,2.0,1,5,3,1,2,“워라밸 빼고 다 단점인 회사”,현직원 · i********* · 연구개발(R&D) - 2023.04.16,워라밸 빼고 좋은 게 없음 그냥 생각 안하고 다니긴 좋아보임,군대보다 심한 사내문화 꼰대문화 겉만 대기업이고 업무 프로세스나 교육도 제대로 없음 커리어무덤 성과급 분할해서 주고 정년연장에만 미쳐있음
6376,2.0,3,3,1,2,1,“사원대리급 고정급이 정말 낮은 회사”,현직원 · 통*** · 경영전략·사업기획·분석전문가 - 2023.04.11,"자동차 할인 폭이 크다
사람들이 잘 아는 회사다
밥이 맛있다",사원 대리 고정급 처우개선 진행이 계속 안되는 중이다
6377,2.0,2,4,3,2,1,“팀바이팀이 많이 다름”,현직원 · y********* · 연구개발(R&D) - 2023.04.03,"휴가많고 워라밸 좋지만 팀바팀
업무강도는 전체적으로 예전보단 좋아짐","회식 엔빵
결과에 대해 상위조직장이 책임을 지지 않음"
6378,2.0,2,5,3,1,2,“좋았던 회사”,현직원 · 브******** · 생산엔지니어·생산관리 - 2023.03.15,"워라밸 좋음
급여준수해지는중
해외근무기회많음
본인능력에 따라 다양한업무경험 가능","그냥 좋았던 회사임
지금은 과거속에 살고있는 불쌍한 과장급많음"
6379,2.0,2,3,2,1,1,"“워라밸은 보장되나, 시스템이 엉망인 회사”",현직원 · l********* · 해외영업·사업개발·마케팅 - 2023.03.11,워라밸 보장 급여도 적당 글로벌 대기업이라는 간판,급여가 오로지 성과급에 의존되고 기본급은 형편 없음 성과 안좋은 해에는 연봉이 천단위로 줆 성과급이 잘나와야 타 삼성 스크에 비빌 수준 가장 최악인점은 이정도 대기업인데 시스템이 엉망이란점 주먹구구식으로 일처리하는 경우가 대부분 시스템에 의존하지 않고 오로지 담당자의 기억력과 개인 보관파일로 의존함 시스템은 중소기업 수준으로 일하다 혈압 오름 아직까지 꼰대 문화 존재
